"","gene_id","gene_name","logFC_MetastasisNodoLinfático_vs_TumorPrimario","logCPM_MetastasisNodoLinfático_vs_TumorPrimario","F_MetastasisNodoLinfático_vs_TumorPrimario","pvalue_MetastasisNodoLinfático_vs_TumorPrimario","FDR_MetastasisNodoLinfático_vs_TumorPrimario"
"ENSG00000147905.18","ENSG00000147905.18","ZCCHC7",0.224130326972485,4.68282185341161,0.0490371297894351,0.825620979935427,0.999622031273466
"ENSG00000143793.13","ENSG00000143793.13","C1orf35",-0.192268375725679,4.4393610534008,0.0489786081412988,0.82572032927166,0.999622031273466
"ENSG00000226084.5","ENSG00000226084.5","RP4-706A16.3",0.158385269297966,6.81968446666859,0.0489708659348999,0.825738250816573,0.999622031273466
"ENSG00000167280.17","ENSG00000167280.17","ENGASE",0.199242062605667,3.14634691386762,0.0489617129029535,0.825741273923793,0.999622031273466
"ENSG00000235508.3","ENSG00000235508.3","RPS2P7",0.184973345421963,4.48206075526612,0.0488769519892071,0.82590051221264,0.999622031273466
"ENSG00000189067.14","ENSG00000189067.14","LITAF",-0.182463109877148,6.42394863575297,0.0488407921315273,0.825965413351123,0.999622031273466
"ENSG00000132688.11","ENSG00000132688.11","NES",-0.278944188187269,2.51489457184572,0.0487969915971947,0.826024720404632,0.999622031273466
"ENSG00000186470.14","ENSG00000186470.14","BTN3A2",-0.203633680300648,3.74008295914155,0.0487694693357603,0.826072098206764,0.999622031273466
"ENSG00000102886.15","ENSG00000102886.15","GDPD3",0.211279702025781,2.87330332254721,0.0486264194510898,0.82632015227141,0.999622031273466
"ENSG00000154358.23","ENSG00000154358.23","OBSCN",0.214976436630787,3.064087424205,0.048604060151298,0.826356807535838,0.999622031273466
"ENSG00000099804.9","ENSG00000099804.9","CDC34",0.193367808014179,4.35167745751084,0.0485936954288988,0.826392403115613,0.999622031273466
"ENSG00000123009.4","ENSG00000123009.4","NME2P1",0.175836687781736,4.1922382189849,0.0484890092970931,0.826581444291339,0.999622031273466
"ENSG00000138771.16","ENSG00000138771.16","SHROOM3",0.19398826219602,5.16589881010974,0.0484516296820935,0.82664670932962,0.999622031273466
"ENSG00000075223.14","ENSG00000075223.14","SEMA3C",-0.197275587132516,5.46705576717009,0.0484421298759371,0.826664451068125,0.999622031273466
