"gene_id","gene_name","logFC_Colon.Normal","logCPM_Colon.Normal","PValue_Colon.Normal","FDR_Colon.Normal","logFC_Metastasis.Nodo.Linfático","logCPM_Metastasis.Nodo.Linfático","PValue_Metastasis.Nodo.Linfático","FDR_Metastasis.Nodo.Linfático"
"ENSG00000235272.2","RAMACL",-0.5321331483576,2.61633699985394,0.763845468379009,0.944949027326964,-1.05044839302929,2.33192405740793,0.249278346954472,0.796169904418592
"ENSG00000243697.1","RP11-463O9.1",-0.688915431561974,0.195686744546248,0.763850325079993,0.944949027326964,0.286344922982912,0.0502532906672314,0.762185104625891,1
"ENSG00000253058.1","RNA5SP437",-2.73354958623582,-1.47862982177546,0.763884645651174,0.944949027326964,-3.91120897599166,-1.97290836205635,0.0666881802322188,0.508629355754191
"ENSG00000182177.14","ASB18",-2.73354958623392,-1.43945484340201,0.763900157996861,0.944949027326964,-1.70743118111832,-1.83605955132604,0.31097615851983,0.851621179212994
"ENSG00000286635.1","RP11-472H7.2",-2.73354958623362,-1.42985574062254,0.763904468776454,0.944949027326964,-2.17545489131119,-1.93052830275919,0.278782638916031,0.828775422307918
"ENSG00000233538.1","AC017104.2",-2.73354958623582,-1.41374470216506,0.763911664968126,0.944949027326964,-4.10274977134395,-1.90983992340401,0.058093477339784,0.486341441039863
"ENSG00000117016.10","RIMS3",-2.73354958623434,-1.37261762342157,0.763930081008151,0.944949027326964,-1.3577643881786,-1.5951847117018,0.34513881816141,0.876144962932994
"ENSG00000167751.13","KLK2",-2.73354958623148,-1.33959181089143,0.763946914167361,0.944949027326964,-1.94329876216066,-1.81290367298845,0.256300461494582,0.80533301382204
"ENSG00000247699.2","FABP6-AS1",-2.73354958623377,-1.33468481497493,0.763949423650567,0.944949027326964,-3.36961699597209,-1.81084198812476,0.0619833535633315,0.498565511611987
"ENSG00000239306.5","RBM14",0.477835986045111,4.60169734527093,0.763957320260719,0.944949027326964,0.360059135389587,4.464206403079,0.587994212475693,0.974829425125595
"ENSG00000261094.2","RP11-355O1.11",-2.73354958623582,-1.26401177372772,0.763987687151572,0.944949027326964,-1.22443660103918,-1.40559749854241,0.391681001397193,0.901623740556756
"ENSG00000214919.3","RP11-674E16.4",-2.73354958623581,-1.11744256203221,0.764079944947079,0.944949027326964,-3.4198544858229,-1.66549682772521,0.124005425900956,0.624843399592138
"ENSG00000185864.17","NPIPB4",0.595849100885136,1.70061997888833,0.764144938711304,0.944949027326964,-0.531637262210646,1.15673674332023,0.581641355750748,0.972969491369215
"ENSG00000071205.12","ARHGAP10",-0.769091527735153,0.247354303154975,0.764154474497373,0.944949027326964,1.35677640104777,1.66822560346771,0.240894115122174,0.789185388071551
"ENSG00000105287.13","PRKD2",-0.604368434719546,3.19961503601983,0.764154991213074,0.944949027326964,0.967715843409732,3.6650937343789,0.334035135970627,0.868679614421466
"ENSG00000112183.15","RBM24",0.745278132194615,0.540501070569502,0.764234784080359,0.944949027326964,-1.59959097601349,0.476767282262945,0.219603450308429,0.763060860363009
"ENSG00000283125.1","RP11-299P2.2",-2.7335495859516,-0.776576963305162,0.764355807164405,0.944949027326964,-3.40980573858213,-1.30120279319297,0.0611554954104421,0.495183680053766
"ENSG00000137648.19","TMPRSS4",-0.372114953229139,6.31998667659847,0.764357996778177,0.944949027326964,0.312423332456262,6.26880533260066,0.5895103925499,0.975463133788681
"ENSG00000258477.1","PPIAP6",0.482958399155114,3.16251363188425,0.764379108112032,0.944949027326964,0.130424903996273,3.23640517017424,0.875005183164498,1
"ENSG00000283071.1","LBHD2",-2.73354958623582,-0.736132830849973,0.764394101238236,0.944949027326964,-3.20944765103244,-1.26312232793362,0.143033645433121,0.657360132405637
"ENSG00000272854.1","RP4-593H12.1",-2.73354958623582,-0.673005536621931,0.764455232716871,0.944949027326964,-5.68934307459579,-1.24419652399643,0.04278472873823,0.446183049089087
