Z_0,gene,abs_loading,factor,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
,ENSG00000106565.18,0.24416763,Z_4,,,,-0.24416763,,,,,,,,,,,,,,,
,ENSG00000172016.16,0.24415873,Z_4,,,,0.24415873,,,,,,,,,,,,,,,
,ENSG00000272398.6,0.24278425,Z_4,,,,-0.24278425,,,,,,,,,,,,,,,
,ENSG00000141753.7,0.24200319,Z_4,,,,-0.24200319,,,,,,,,,,,,,,,
,ENSG00000138640.15,0.24181205,Z_4,,,,-0.24181205,,,,,,,,,,,,,,,
,ENSG00000084234.18,0.23993617,Z_4,,,,-0.23993617,,,,,,,,,,,,,,,
,ENSG00000198937.9,0.23726515,Z_4,,,,0.23726515,,,,,,,,,,,,,,,
,ENSG00000160180.17,0.4023878,Z_5,,,,,0.4023878,,,,,,,,,,,,,,
,ENSG00000091138.13,0.35995355,Z_5,,,,,0.35995355,,,,,,,,,,,,,,
,ENSG00000266088.6,0.33123225,Z_5,,,,,0.33123225,,,,,,,,,,,,,,
,ENSG00000198788.9,0.3274688,Z_5,,,,,0.3274688,,,,,,,,,,,,,,
,ENSG00000166681.14,0.32556498,Z_5,,,,,-0.32556498,,,,,,,,,,,,,,
,ENSG00000123219.13,0.32239047,Z_5,,,,,-0.32239047,,,,,,,,,,,,,,
,ENSG00000169908.12,0.314948,Z_5,,,,,-0.314948,,,,,,,,,,,,,,
,ENSG00000128422.17,0.30853316,Z_5,,,,,-0.30853316,,,,,,,,,,,,,,
,ENSG00000165949.12,0.30466855,Z_5,,,,,0.30466855,,,,,,,,,,,,,,
,ENSG00000011426.11,0.2909438,Z_5,,,,,-0.2909438,,,,,,,,,,,,,,
,ENSG00000163535.18,0.2821624,Z_5,,,,,-0.2821624,,,,,,,,,,,,,,
,ENSG00000148450.13,0.27619642,Z_5,,,,,0.27619642,,,,,,,,,,,,,,
,ENSG00000186395.9,0.2733569,Z_5,,,,,0.2733569,,,,,,,,,,,,,,
,ENSG00000108244.17,0.2729751,Z_5,,,,,0.2729751,,,,,,,,,,,,,,
,ENSG00000019582.16,0.2695176,Z_5,,,,,0.2695176,,,,,,,,,,,,,,
,ENSG00000177685.17,0.26949242,Z_5,,,,,-0.26949242,,,,,,,,,,,,,,
,ENSG00000072401.15,0.26413235,Z_5,,,,,-0.26413235,,,,,,,,,,,,,,
,ENSG00000143416.21,0.2640319,Z_5,,,,,0.2640319,,,,,,,,,,,,,,
,ENSG00000079459.13,0.26233765,Z_5,,,,,-0.26233765,,,,,,,,,,,,,,
,ENSG00000158050.5,0.26214162,Z_5,,,,,-0.26214162,,,,,,,,,,,,,,
,ENSG00000148346.12,0.2603497,Z_5,,,,,-0.2603497,,,,,,,,,,,,,,
,ENSG00000122711.9,0.25805587,Z_5,,,,,0.25805587,,,,,,,,,,,,,,
,ENSG00000124486.14,0.25529468,Z_5,,,,,0.25529468,,,,,,,,,,,,,,
,ENSG00000182199.11,0.25365272,Z_5,,,,,-0.25365272,,,,,,,,,,,,,,
,ENSG00000198786.2,0.2520415,Z_5,,,,,0.2520415,,,,,,,,,,,,,,
,ENSG00000244509.4,0.25200206,Z_5,,,,,-0.25200206,,,,,,,,,,,,,,
,ENSG00000084073.10,0.25102225,Z_5,,,,,-0.25102225,,,,,,,,,,,,,,
,ENSG00000203760.9,0.25068173,Z_5,,,,,-0.25068173,,,,,,,,,,,,,,
,ENSG00000198142.5,0.24826847,Z_5,,,,,-0.24826847,,,,,,,,,,,,,,
,ENSG00000173432.12,0.24718,Z_5,,,,,-0.24718,,,,,,,,,,,,,,
