,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
ENSG00000060642.11,0.04669645,-0.050543368,0.043129444,-0.030556185,-0.018328581,-0.0772811,0.034414735,-0.046311263,-0.09081244,-0.041657545,0.015470209,-0.07190621,0.0072814426,-0.08069186,-0.038373765,-0.044083863,-0.004409989,0.009837602,-0.0126153715,0.050879125
ENSG00000142751.15,-0.034958318,0.04670634,0.0927935,0.009758573,-0.030337116,-0.037383005,0.08278362,0.05361202,-0.07772365,0.0036079464,-0.014758942,-0.03445188,0.103230126,-0.07816169,-0.056959145,-0.07586179,0.013873162,0.028954154,-0.034004815,0.04908174
ENSG00000198746.13,-0.009127404,-0.13851744,-0.0043075406,0.017673226,0.1121244,0.018886145,0.036986146,0.019249726,0.0032891305,-0.109216064,-0.020765707,0.08579189,0.008648629,-0.0721151,-0.0428346,-0.13377973,-0.044407934,-0.06589233,-0.027182065,0.019769026
ENSG00000131910.5,-0.039103195,-0.09042639,-0.056304608,0.055166595,0.0058758655,-0.025584647,-0.014079278,0.088214986,0.03547657,-0.07148532,-0.027958773,0.0017758256,0.09174535,0.031143332,-0.020349232,-0.08894568,-0.053199347,0.04972903,0.045241836,-0.1027174
ENSG00000175707.9,0.03462073,-0.018786656,0.11896306,0.02165759,-0.03444279,-0.047629546,-0.018745165,0.11310821,0.03390192,-0.035390142,-0.01805378,0.092745624,-0.026775243,-0.044008084,-0.036929347,-0.12791622,0.033274,0.04233242,0.033784404,-0.0069902455
ENSG00000090020.11,-0.035476215,0.024341276,-0.023578348,0.007770631,-0.026229318,0.015733367,0.036940977,0.09593664,0.0012083465,-0.03379275,-0.0638029,-0.048558123,0.10242694,-0.07554964,0.06091643,0.046098776,-0.07650959,-0.008059808,0.07715465,-0.060914446
ENSG00000126709.16,0.010540313,-0.06724587,0.00023655029,0.14490692,0.017622601,-0.09521596,-0.060577147,0.094143145,0.033142332,0.14982343,-0.27683777,-0.067470536,0.05471679,0.17843276,-0.17455809,-0.152239,0.05136587,0.05700947,-0.009997057,-0.020333774
ENSG00000117758.14,0.045625377,0.053083442,0.070140615,-0.012692095,0.028643845,-0.0129067805,0.03748595,0.0033316496,-0.07986426,-0.056706637,0.03459784,-0.07473021,-0.018367013,0.00952582,-0.010327078,-0.062078744,-0.042347673,0.01792794,0.012626089,0.011693915
ENSG00000130775.16,0.08123509,0.06120759,0.0949418,-0.05681399,0.04802347,-0.0521743,0.057075705,-0.02859921,0.021826819,0.04798191,-0.049617693,-0.06053496,-0.009542827,0.047562778,0.02124997,-0.037019577,-0.04430383,0.008416946,0.08519148,-0.051869553
ENSG00000117748.10,0.11513843,-0.05699925,-0.035459556,-0.02701166,0.15261029,0.0076095033,-0.07118761,-0.08575359,0.09384655,-0.05186137,0.034508392,0.053013813,0.009973378,-0.088513695,0.03990473,-0.092860475,0.07058215,0.10038343,0.1675177,-0.05814018
ENSG00000130766.5,0.036852606,0.043098427,0.06988044,-0.07554044,0.059855387,0.044117533,0.057451967,-0.011300047,-0.069467194,-0.0020858496,-0.002205908,0.035018448,-0.003015292,-0.044857953,0.041125815,-0.00213605,-0.0625963,-0.026690656,-0.032566562,-0.08150275
